Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Drew Brees (NO, QB)",0,0,0,0,0.0,20,23,2,5207,37,673,5,15,5257,38,674,1743,17,404
"Matt Ryan (ATL, QB)",0,0,0,0,0.0,117,35,0,4944,38,534,4,7,4960,38,537,1928,20,421
"Kirk Cousins (WAS, QB)",0,0,0,0,0.0,100,34,4,4917,25,606,8,12,4948,25,607,1700,17,379
"Aaron Rodgers (GB, QB)",0,0,0,0,0.0,369,67,4,4428,40,610,8,7,4445,40,620,1701,11,374
"Philip Rivers (SD, QB)",0,0,0,0,0.0,35,14,0,4390,33,578,9,21,4390,33,580,1510,10,398
"Matthew Stafford (DET, QB)",0,0,0,0,0.0,207,37,2,4327,24,594,3,10,4327,24,594,1310,9,350
"Joe Flacco (BAL, QB)",0,0,0,0,0.0,53,22,2,4317,20,673,5,15,4343,20,680,1458,10,368
"Andrew Luck (IND, QB)",0,0,0,0,0.0,341,64,2,4240,31,545,6,13,4491,32,584,1629,13,409
"Carson Palmer (ARI, QB)",0,0,0,0,0.0,38,14,0,4237,26,598,14,14,4429,28,647,1728,20,398
"Russell Wilson (SEA, QB)",14,2,1,8,0.6666666666666666,259,72,1,4219,21,546,8,11,4422,23,567,1591,13,403
"Andy Dalton (CIN, QB)",0,0,0,0,0.0,184,46,4,4206,18,563,9,8,4206,18,563,1769,17,446
"Jameis Winston (TB, QB)",0,0,0,0,0.0,168,52,1,4090,28,568,10,18,4165,29,579,1619,8,452
"Eli Manning (NYG, QB)",0,0,0,0,0.0,-9,21,0,4027,26,598,7,16,4027,26,598,1412,6,398
"Derek Carr (OAK, QB)",0,0,0,0,0.0,69,38,0,3933,28,559,5,6,4133,29,595,1922,17,433
"Blake Bortles (JAC, QB)",20,1,1,5,0.5,359,58,3,3905,23,625,8,16,3925,24,626,1631,8,392
"Sam Bradford (MIN, QB)",5,1,0,5,0.5,53,20,0,3877,20,553,10,5,4119,20,589,1205,9,380
"Ben Roethlisberger (PIT, QB)",0,0,0,0,0.0,14,16,1,3819,29,509,8,13,4377,33,596,1760,13,409
"Carson Wentz (PHI, QB)",7,1,0,7,0.5,150,46,2,3782,16,607,14,14,3798,16,609,1813,16,438
"Dak Prescott (DAL, QB)",0,0,0,0,0.0,282,57,6,3667,23,459,9,4,3799,25,483,2396,24,499
"Tom Brady (NE, QB)",0,0,0,0,0.0,64,28,0,3554,28,432,5,2,4458,32,551,1872,19,482
"Cam Newton (CAR, QB)",0,0,0,0,0.0,359,90,5,3509,19,509,2,14,3962,21,562,1814,16,453
"Alex Smith (KC, QB)",3,1,0,3,0.5,134,48,5,3502,15,489,6,8,3914,19,546,1749,15,412
"Marcus Mariota (TEN, QB)",0,1,0,0,0.0,357,59,2,3426,26,451,9,9,3720,29,504,2195,16,475
"Trevor Siemian (DEN, QB)",0,0,0,0,0.0,57,28,0,3401,18,486,4,10,3914,20,570,1484,11,410
