Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"LeSean McCoy (BUF, RB)",540,64,2,585,0.8,1607,314,9,0,0,0,1,0,3373,16,522,2307,15,546
"Matt Forte (NYJ, RB)",592,95,3,500,0.78125,1341,288,9,0,0,0,2,0,3270,13,480,2158,12,493
"Jamaal Charles (DEN, RB)",699,102,7,653,0.6601941747572816,1288,259,12,0,0,0,4,0,5596,55,675,1873,16,461
"Alfred Morris (DAL, RB)",78,12,0,79,0.6923076923076923,1275,276,7,0,0,0,5,0,4238,33,586,1507,12,336
"Adrian Peterson (ARI, RB)",171,40,1,157,0.7073170731707317,1266,279,10,0,0,0,5,0,4291,24,574,1540,12,422
"Marshawn Lynch (OAK, RB)",316,44,2,280,0.8,1257,301,12,0,0,0,4,0,3632,17,517,1994,16,435
"Eddie Lacy (SEA, RB)",257,44,0,307,0.7777777777777778,1178,284,11,0,0,0,1,0,3508,27,420,2188,14,509
"Frank Gore (IND, RB)",141,26,0,101,0.5925925925925926,1128,276,9,0,0,0,3,0,3960,23,584,1735,15,407
"DeMarco Murray (TEN, RB)",348,66,1,374,0.7910447761194029,1124,217,9,0,0,0,3,0,3710,22,533,1894,16,462
"Le'Veon Bell (PIT, RB)",404,60,0,432,0.7049180327868853,857,242,8,0,0,0,1,0,4192,28,572,1373,9,391
"Chris Ivory (JAC, RB)",10,7,0,8,0.25,833,182,3,0,0,0,2,0,3751,16,592,1260,7,376
"LeGarrette Blount (PHI, RB)",38,5,0,35,0.3333333333333333,768,152,7,0,0,0,3,0,4401,32,507,2557,19,501
"Lamar Miller (HOU, RB)",170,35,0,166,0.7222222222222222,709,177,2,0,0,0,1,0,4183,19,631,1743,7,414
"Bilal Powell (NYJ, RB)",272,57,0,307,0.6206896551724138,697,176,1,30,0,1,1,0,3270,13,480,2158,12,493
"Giovani Bernard (CIN, RB)",514,71,3,526,0.7777777777777778,695,170,5,0,0,0,1,0,4321,33,587,1755,14,481
"Andre Ellington (ARI, RB)",371,57,1,260,0.6724137931034483,652,117,3,0,0,0,1,0,4291,24,574,1540,12,422
"Bobby Rainey (BAL, RB)",46,19,1,66,0.75,566,150,5,0,0,1,1,0,3914,19,619,1329,7,423
"Doug Martin (TB, RB)",66,24,0,57,0.48,456,127,1,0,0,0,1,0,3181,22,512,1612,6,420
