Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Rob Gronkowski (NE, TE)",1327,124,17,637,0.72,2,1,1,0,0,0,0,0,5261,39,612,1764,18,438
"Jimmy Graham (SEA, TE)",1310,149,11,466,0.66,0,0,0,0,0,0,1,0,3444,15,509,1755,15,446
"Jason Witten (DAL, TE)",942,117,5,383,0.6694915254237288,0,0,0,0,0,0,1,0,4453,33,570,1807,5,408
"Brent Celek (PHI, TE)",811,96,5,476,0.6391752577319587,0,0,0,0,0,0,0,0,4276,22,553,2277,20,448
"Vernon Davis (WAS, TE)",792,95,6,334,0.6979166666666666,-5,2,0,0,0,0,3,0,4055,19,591,1592,8,403
"Antonio Gates (SD, TE)",778,88,7,256,0.7191011235955056,0,0,0,0,0,0,0,0,4624,27,582,1866,16,435
"Jared Cook (OAK, TE)",759,81,3,277,0.5975609756097561,0,0,0,0,0,0,2,0,4117,20,525,2110,16,466
"Jermaine Gresham (ARI, TE)",596,92,6,178,0.6021505376344086,0,0,0,0,0,0,1,0,3954,21,550,1625,12,389
"Greg Olsen (CAR, TE)",540,89,5,199,0.5,0,0,0,0,0,0,1,0,4089,21,519,2411,26,444
"Ed Dickson (CAR, TE)",528,89,5,156,0.6,0,0,0,0,0,0,0,0,4089,21,519,2411,26,444
"Marcedes Lewis (JAC, TE)",460,85,0,150,0.45348837209302323,0,0,0,0,0,0,0,0,2510,12,469,1970,9,489
"Anthony Fasano (MIA, TE)",451,54,5,104,0.5818181818181818,0,0,0,0,0,0,0,0,3432,20,469,1981,11,468
"Benjamin Watson (BAL, TE)",410,71,2,196,0.5138888888888888,0,0,0,0,0,0,0,0,3629,21,544,1996,15,459
"Lance Kendricks (GB, TE)",352,58,0,185,0.4745762711864407,-8,1,0,0,0,0,1,0,5155,51,551,1564,12,396
"Kyle Rudolph (MIN, TE)",249,39,3,88,0.65,0,0,0,0,0,0,0,0,3255,20,511,2318,18,448
"Charles Clay (BUF, TE)",233,25,3,82,0.6153846153846154,0,0,0,0,0,0,0,0,3857,24,578,1908,12,392
"Delanie Walker (TEN, TE)",198,35,3,77,0.5277777777777778,5,3,0,0,0,0,0,0,4113,22,584,1438,8,376
"Clay Harbor (NO, TE)",163,19,1,44,0.65,0,0,0,0,0,0,0,0,5564,46,665,2140,16,434
"Martellus Bennett (GB, TE)",144,26,0,102,0.6296296296296297,0,0,0,0,0,0,0,0,5155,51,551,1564,12,396
"Luke Stocker (TB, TE)",92,17,0,51,0.6666666666666666,0,0,0,0,0,0,0,0,3836,17,588,1458,9,346
"Michael Hoomanawanui (NO, TE)",83,13,0,62,0.5,0,0,0,0,0,0,0,0,5564,46,665,2140,16,434
"Zach Miller (CHI, TE)",42,7,1,17,0.5,0,0,0,0,0,0,0,0,3346,18,473,2016,10,456
"Niles Paul (WAS, TE)",25,5,0,1,0.3333333333333333,7,1,0,0,0,0,0,0,4055,19,591,1592,8,403
"Virgil Green (DEN, TE)",24,5,0,11,0.5,0,0,0,0,0,0,0,0,2708,20,430,2638,11,544
