Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Josh Gordon (CLE, WR)",1646,159,9,675,0.54375,88,5,0,0,0,0,0,0,4372,26,681,1383,4,347
"Antonio Brown (PIT, WR)",1438,165,8,559,0.6566265060240963,4,7,0,15,0,1,1,0,4192,28,572,1373,9,391
"Demaryius Thomas (DEN, WR)",1430,142,14,707,0.6433566433566433,0,0,0,0,0,0,1,0,5596,55,675,1873,16,461
"A.J. Green (CIN, WR)",1426,178,11,390,0.547486033519553,0,0,0,0,0,0,1,0,4321,33,587,1755,14,481
"Alshon Jeffery (PHI, WR)",1421,149,7,411,0.5933333333333334,105,16,0,0,0,0,3,0,4401,32,507,2557,19,501
"Pierre Garcon (SF, WR)",1345,182,5,649,0.6174863387978142,19,2,0,0,0,0,1,0,3210,21,417,2201,18,505
"DeSean Jackson (TB, WR)",1332,126,9,528,0.6456692913385826,2,3,0,0,0,0,1,0,3181,22,512,1612,6,420
"Jordy Nelson (GB, WR)",1314,127,8,420,0.6640625,0,0,0,0,0,0,0,0,4538,25,570,2137,17,458
"Brandon Marshall (NYG, WR)",1295,164,12,279,0.6060606060606061,0,0,0,0,0,0,0,0,3875,18,567,1333,11,381
"Eric Decker (TEN, WR)",1288,136,11,387,0.635036496350365,0,0,0,0,0,0,2,0,3710,22,533,1894,16,462
"Dez Bryant (DAL, WR)",1249,159,13,550,0.58125,1,1,0,0,0,0,3,0,4238,33,586,1507,12,336
"Torrey Smith (PHI, WR)",1128,137,4,359,0.47101449275362317,0,0,0,0,0,0,1,0,4401,32,507,2557,19,501
"T.Y. Hilton (IND, WR)",1086,139,5,394,0.5928571428571429,3,1,0,0,0,0,1,0,3960,23,584,1735,15,407
"Kendall Wright (CHI, WR)",1079,139,2,548,0.6714285714285714,0,0,0,0,0,0,2,0,4448,32,580,1862,13,403
"Harry Douglas (TEN, WR)",1067,132,2,507,0.6390977443609023,0,0,0,0,0,0,3,0,3710,22,533,1894,16,462
"Julian Edelman (NE, WR)",1056,151,6,485,0.6907894736842105,11,2,0,0,0,0,5,0,4338,25,626,2052,19,468
"Michael Floyd (MIN, WR)",1054,113,5,282,0.5789473684210527,0,0,0,0,0,0,0,0,3645,18,546,2081,23,423
"Keenan Allen (SD, WR)",1046,104,8,398,0.6761904761904762,0,0,0,0,0,0,2,0,4478,32,545,1961,9,486
"Larry Fitzgerald (ARI, WR)",954,135,10,333,0.6029411764705882,8,2,0,0,0,1,1,0,4291,24,574,1540,12,422
"Mike Wallace (BAL, WR)",930,140,5,283,0.5177304964539007,33,3,0,0,0,0,0,0,3914,19,619,1329,7,423
"Golden Tate (DET, WR)",898,99,5,471,0.64,31,3,0,0,0,0,2,0,4647,29,634,1797,15,444
"DeAndre Hopkins (HOU, WR)",802,91,2,178,0.5652173913043478,0,0,0,0,0,0,1,0,4183,19,631,1743,7,414
"Doug Baldwin (SEA, WR)",778,73,5,219,0.6756756756756757,6,2,0,0,0,0,0,0,3508,27,420,2188,14,509
"Terrance Williams (DAL, WR)",736,74,5,204,0.5866666666666667,4,3,0,0,0,0,2,0,4238,33,586,1507,12,336
"Marvin Jones (DET, WR)",712,80,10,243,0.6296296296296297,65,8,0,0,0,0,0,0,4647,29,634,1797,15,444
"Emmanuel Sanders (DEN, WR)",701,108,6,301,0.5963302752293578,25,1,0,0,0,0,1,0,5596,55,675,1873,16,461
"Kenny Stills (MIA, WR)",641,50,5,197,0.6274509803921569,10,3,0,0,0,0,0,0,3926,23,586,1373,8,341
"Danny Amendola (NE, WR)",633,83,2,249,0.6428571428571429,1,1,0,0,0,0,0,0,4338,25,626,2052,19,468
"Brandon LaFell (CIN, WR)",627,85,5,257,0.5697674418604651,15,2,0,0,0,0,1,0,4321,33,587,1755,14,481
"Robert Woods (LA, WR)",587,85,3,131,0.46511627906976744,16,2,0,0,0,0,0,0,0,0,0,0,0,0
"Julio Jones (ATL, WR)",580,59,2,245,0.6833333333333333,7,1,0,0,0,0,2,0,4541,26,659,1247,11,321
"Ted Ginn (NO, WR)",556,68,5,211,0.5217391304347826,29,4,0,0,0,0,0,0,5139,39,649,1476,10,387
"Jeremy Kerley (NYJ, WR)",523,72,3,140,0.589041095890411,11,4,0,0,0,1,0,0,3270,13,480,2158,12,493
"Andre Roberts (ATL, WR)",471,76,2,128,0.5584415584415584,0,0,0,0,0,0,0,0,4541,26,659,1247,11,321
"Cordarrelle Patterson (OAK, WR)",469,77,4,277,0.5769230769230769,158,12,3,0,0,0,0,0,3632,17,517,1994,16,435
"Mohamed Sanu (ATL, WR)",455,77,2,249,0.6025641025641025,16,4,0,25,0,1,1,0,4541,26,659,1247,11,321
"Rishard Matthews (TEN, WR)",445,65,2,148,0.6060606060606061,0,0,0,0,0,0,0,0,3710,22,533,1894,16,462
"Jarius Wright (MIN, WR)",434,43,3,118,0.5909090909090909,0,0,0,0,0,0,0,0,3645,18,546,2081,23,423
"Randall Cobb (GB, WR)",433,47,4,177,0.6458333333333334,78,4,0,0,0,0,0,0,4538,25,570,2137,17,458
"Andre Holmes (BUF, WR)",431,52,1,130,0.4716981132075472,0,0,0,0,0,0,0,0,3373,16,522,2307,15,546
"Tavon Austin (LA, WR)",418,69,4,229,0.5714285714285714,151,9,1,0,0,1,4,0,0,0,0,0,0,0
"Justin Blackmon (JAC, WR)",415,48,1,243,0.5918367346938775,-1,1,0,0,0,0,0,0,3751,16,592,1260,7,376
"Cole Beasley (DAL, WR)",366,54,2,196,0.7090909090909091,0,0,0,0,0,0,0,0,4238,33,586,1507,12,336
"Aldrick Robinson (SF, WR)",365,46,2,86,0.3829787234042553,-4,3,0,0,0,0,0,0,3210,21,417,2201,18,505
"Justin Hunter (PIT, WR)",354,42,4,126,0.4186046511627907,0,0,0,0,0,0,0,0,4192,28,572,1373,9,391
"Jermaine Kearse (NYJ, WR)",346,38,4,37,0.5641025641025641,0,0,0,0,0,0,1,0,3270,13,480,2158,12,493
"Darrius Heyward-Bey (PIT, WR)",309,64,1,124,0.4461538461538462,26,3,0,0,0,0,0,0,4192,28,572,1373,9,391
"Brian Quick (WAS, WR)",302,35,2,105,0.5,0,0,0,0,0,0,0,0,4065,20,612,2150,14,454
"Michael Crabtree (OAK, WR)",284,33,1,135,0.5588235294117647,0,0,0,0,0,0,0,0,3632,17,517,1994,16,435
"Marquise Goodwin (SF, WR)",283,32,3,45,0.5151515151515151,13,3,0,0,0,0,1,0,3210,21,417,2201,18,505
"Brittan Golden (ARI, WR)",136,10,0,75,0.36363636363636365,0,0,0,0,0,0,0,0,4291,24,574,1540,12,422
"Jaron Brown (ARI, WR)",127,17,1,32,0.5555555555555556,0,0,0,0,0,0,0,0,4291,24,574,1540,12,422
"Travis Benjamin (SD, WR)",105,13,0,60,0.35714285714285715,45,1,0,0,0,0,2,0,4478,32,545,1961,9,486
"Brice Butler (DAL, WR)",103,17,0,33,0.5,0,0,0,0,0,0,0,0,4238,33,586,1507,12,336
"Kenny Britt (CLE, WR)",96,35,0,13,0.3055555555555556,0,0,0,0,0,0,0,0,4372,26,681,1383,4,347
"Deonte Thompson (BUF, WR)",96,20,0,17,0.47619047619047616,0,0,0,0,0,0,0,0,3373,16,522,2307,15,546
"Chris Hogan (NE, WR)",83,17,0,29,0.5555555555555556,0,0,0,0,0,0,0,0,4338,25,626,2052,19,468
"Dwayne Harris (NYG, WR)",80,14,2,36,0.6,6,1,0,0,0,0,2,0,3875,18,567,1333,11,381
"Markus Wheaton (CHI, WR)",64,13,0,36,0.42857142857142855,0,0,0,0,0,0,0,0,4448,32,580,1862,13,403
"Nick Williams (ATL, WR)",15,11,0,1,0.25,0,0,0,0,0,0,1,0,4541,26,659,1247,11,321
