Team,Total Pass Yards Allowed,Total Pass TDs Allowed,Total Rush Yards Allowed,Total Rush TDs Allowed
NE,4996,26,1862,13
NYJ,3414,15,1777,17
MIA,4233,24,1536,8
BUF,3924,30,2224,19
PIT,2981,15,1597,7
BAL,3430,11,1482,10
CLE,3158,16,2356,12
CIN,3662,21,1675,14
HOU,3322,18,1536,8
IND,3828,25,2303,19
JAC,3554,21,1667,14
TEN,3809,21,2046,10
DEN,3987,24,2021,11
KC,3401,23,2112,14
LAC,0,0,0,0
OAK,4262,31,2172,15
DAL,4146,24,1585,10
WAS,3804,22,1884,15
NYG,4417,28,1918,15
PHI,3713,27,1801,11
MIN,4361,34,1712,10
GB,4979,29,1796,10
DET,4159,26,2065,10
CHI,4282,22,1542,10
NO,4413,24,1743,11
TB,3962,30,2497,26
ATL,4017,25,1555,10
CAR,4119,28,2093,18
SF,3978,20,1238,3
SEA,3750,18,1775,10
ARI,4000,17,1986,15
LA,0,0,0,0
