Team,Total Pass Yards,Total Pass TDs,Total Pass Att,Total Rush Yards,Total Rush TDs,Total Rush Att
NE,4338,25,626,2052,19,468
NYJ,3270,13,480,2158,12,493
MIA,3926,23,586,1373,8,341
BUF,3373,16,522,2307,15,546
PIT,4192,28,572,1373,9,391
BAL,3914,19,619,1329,7,423
CLE,4372,26,681,1383,4,347
CIN,4321,33,587,1755,14,481
HOU,4183,19,631,1743,7,414
IND,3960,23,584,1735,15,407
JAC,3751,16,592,1260,7,376
TEN,3710,22,533,1894,16,462
DEN,5596,55,675,1873,16,461
KC,3567,24,545,2057,17,442
SD,4478,32,545,1961,9,486
OAK,3632,17,517,1994,16,435
DAL,4238,33,586,1507,12,336
WAS,4065,20,612,2150,14,454
NYG,3875,18,567,1333,11,381
PHI,4401,32,507,2557,19,501
MIN,3645,18,546,2081,23,423
GB,4538,25,570,2137,17,458
DET,4647,29,634,1797,15,444
CHI,4448,32,580,1862,13,403
NO,5139,39,649,1476,10,387
TB,3181,22,512,1612,6,420
ATL,4541,26,659,1247,11,321
CAR,3379,24,473,2018,14,482
SF,3210,21,417,2201,18,505
SEA,3508,27,420,2188,14,509
ARI,4291,24,574,1540,12,422
STL,3360,22,506,1752,10,426
