Home Team,Away Team,Home Spread,O/U,Day,Date,Time
Buffalo,NY Jets ,-3.3333333333333335,42.5, Thu, Nov 2, 8:25 
Atlanta,Carolina ,-2.25,42.333333333333336, Sun, Nov 5, 1:00 
Indianapolis,Houston ,6.666666666666667,45.833333333333336, Sun, Nov 5, 1:00 
Cincinnati,Jacksonville ,6.25,38.583333333333336, Sun, Nov 5, 1:00 
Tampa Bay,New Orleans ,6.75,52.25, Sun, Nov 5, 1:00 
LA Rams,NY Giants ,-4.416666666666667,42.083333333333336, Sun, Nov 5, 1:00 
Denver,Philadelphia ,7.083333333333333,41.666666666666664, Sun, Nov 5, 1:00 
Baltimore,Tennessee ,3.75,42.416666666666664, Sun, Nov 5, 1:00 
Arizona,San Francisco ,-2.25,39.333333333333336, Sun, Nov 5, 4:05 
Washington,Seattle ,7.166666666666667,44.833333333333336, Sun, Nov 5, 4:05 
Kansas City,Dallas ,2.3333333333333335,53.583333333333336, Sun, Nov 5, 4:25 
Oakland,Miami ,-2.9166666666666665,44.083333333333336, Sun, Nov 5, 8:30 
Detroit,Green Bay ,-2.0,43.416666666666664, Mon, Nov 6, 8:30 
